目标变量,样本数,XGB_R2,XGB_MAE,XGB_RMSE,LGB_R2,LGB_MAE,LGB_RMSE,最佳模型
C4_汽油,768,0.7147,1.6278,2.3054,0.6296,1.9147,2.6267,XGB
C9_转化率,768,0.5362,2.029,3.0058,0.4211,2.4514,3.358,XGB
C3_液化气,768,0.7092,1.286,1.9645,0.6443,1.5967,2.1726,XGB
C1_焦炭,768,0.6807,0.5994,0.9066,0.6083,0.7187,1.0041,XGB
C5_柴油,768,0.5971,0.913,1.2842,0.493,1.082,1.4405,XGB
C8_总液收,768,0.7537,1.0391,1.6714,0.5426,1.4549,2.2779,XGB
C2_干气,768,0.9185,0.1954,0.3229,0.8854,0.2778,0.383,XGB
C2-1_氢气,768,0.3143,0.0363,0.1079,0.5116,0.0498,0.091,LGB
C2-2_硫化氢,768,-6.1182,0.0011,0.0048,-15.9197,0.0024,0.0074,XGB
C2-3_甲烷,768,0.9216,0.0655,0.0991,0.8298,0.1054,0.146,XGB
C2-4_乙烷,768,0.8531,0.04,0.0626,0.6869,0.0607,0.0913,XGB
C2-5_乙烯,768,0.6107,0.1426,0.5217,0.7775,0.1997,0.3944,LGB
C3-1_丙烷,768,0.5727,0.201,0.3451,0.5678,0.2409,0.3471,XGB
C3-2_丙烯,768,0.8169,0.4933,0.8028,0.7824,0.5827,0.8752,XGB
C3-3_正丁烷,768,0.594,0.1795,0.2631,0.5352,0.2104,0.2815,XGB
C3-4_异丁烷,768,0.6068,0.6655,1.0101,0.5435,0.8036,1.0883,XGB
C3-5_C4烯烃,768,0.7374,0.5095,0.7471,0.7192,0.5612,0.7726,XGB
C3-5-1_1-丁烯,768,0.7555,0.0769,0.108,0.6859,0.0941,0.1224,XGB
C3-5-2_异丁烯,768,0.7826,0.2485,0.3484,0.7351,0.2818,0.3846,XGB
C3-5-3_顺丁烯,768,0.6719,0.0963,0.1451,0.6864,0.1061,0.1419,LGB
C3-5-4_反丁烯,768,0.6883,0.118,0.1717,0.6137,0.1397,0.1912,XGB
C3-5-5_丁二烯,768,0.1119,0.0311,0.2518,0.123,0.0399,0.2502,LGB
C6_重油,768,0.4875,1.1352,1.8402,0.3835,1.3886,2.0184,XGB
C7_轻收,768,0.8797,1.4988,2.2466,0.6394,2.1993,3.8902,XGB
